,PLAYER,TEAM,GP,W,L,MIN,Touches,Paint Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.2,0.2,0.2,100.0,0.0,0.0,0.0,0.3,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,32,25,7,9.4,11.9,0.3,0.1,0.1,75.0,0.1,0.1,100.0,0.3,80.0,0.1,30.0,0.0,10.0,0.0,10.0,0.0,10.0
2,AJ Griffin,ATL,61,28,33,19.4,21.0,0.6,0.3,0.4,75.0,0.0,0.1,75.0,0.6,100.0,0.2,28.2,0.0,7.7,0.0,5.1,0.0,5.1
3,Aaron Gordon,DEN,58,40,18,30.1,42.1,6.9,3.6,4.8,75.7,0.9,1.6,57.8,8.2,118.4,0.9,12.7,0.2,3.5,0.3,3.7,0.7,10.2
4,Aaron Holiday,ATL,54,28,26,13.6,19.8,0.4,0.1,0.2,41.7,0.0,0.0,100.0,0.2,57.1,0.1,33.3,0.0,0.0,0.0,0.0,0.0,4.8
5,Aaron Nesmith,IND,61,27,34,24.8,34.5,1.1,0.4,0.6,61.5,0.1,0.1,100.0,0.9,86.2,0.2,18.5,0.0,3.1,0.1,10.8,0.0,4.6
6,Aaron Wiggins,OKC,58,31,27,18.5,21.2,2.1,0.8,1.2,63.4,0.3,0.3,88.2,1.8,83.9,0.6,26.6,0.2,8.1,0.1,6.5,0.1,6.5
7,Admiral Schofield,ORL,31,12,19,11.9,18.1,1.0,0.4,0.6,61.1,0.0,0.1,50.0,0.7,76.7,0.3,33.3,0.1,13.3,0.0,0.0,0.0,3.3
8,Al Horford,BOS,55,38,17,31.0,46.5,2.8,0.7,1.3,53.4,0.1,0.1,75.0,1.5,52.6,1.2,42.3,0.4,12.8,0.1,5.1,0.0,1.3
9,Alec Burks,DET,50,12,38,22.0,34.6,0.4,0.1,0.2,44.4,0.0,0.0,100.0,0.2,61.1,0.1,33.3,0.0,5.6,0.0,11.1,0.0,5.6
